presynaptic cell,postsynaptic cell,weight,standard_deviation
0,0,0.46726787,0.00838369
1,0,-0.05806874,0.00657750
2,0,0.30081877,0.02196257
3,0,0.05273360,0.01295632
4,0,-0.25740188,0.00766710
0,1,0.16679294,0.01042406
1,1,0.47180393,0.01849013
2,1,0.44738185,0.02734299
3,1,-0.33505362,0.02092921
4,1,-0.60325646,0.01035210
0,2,-0.29735786,0.01053231
1,2,0.02344693,0.01775976
2,2,0.46704426,0.02656653
3,2,-0.10147451,0.00936856
4,2,-0.59306169,0.00834958
0,3,-0.34917447,0.05440446
1,3,-0.25620079,0.04924981
2,3,-0.15642828,0.04634664
3,3,0.46898633,0.05279627
4,3,0.49229223,0.03685571
0,4,-0.05791136,0.02405140
1,4,0.64372033,0.02532097
2,4,-0.31594571,0.02442627
3,4,0.16054806,0.02222070
4,4,0.47005653,0.03201631
